Acolyte	Personality Trait	8	1|I idolize a particular hero of my faith, and constantly refer to that person's deeds and example.	PHB
Acolyte	Personality Trait	8	2|I can find common ground between the fiercest enemies, empathizing with them and always working toward peace.	PHB
Acolyte	Personality Trait	8	3|I see omens in every event and action. The gods try to speak to us, we just need to listen.	PHB
Acolyte	Personality Trait	8	4|Nothing can shake my optimistic attitude.	PHB
Acolyte	Personality Trait	8	5|I quote (or misquote) sacred texts and proverbs in almost every situation.	PHB
Acolyte	Personality Trait	8	6|I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.	PHB
Acolyte	Personality Trait	8	7|I've enjoyed fine food, drink, and high society among my temple's elite. Rough living grates on me.	PHB
Acolyte	Personality Trait	8	8|I've spent so long in the temple that I have little practical experience dealing with people in the outside world.	PHB
Acolyte	Ideal	6	1|Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld. (Lawful)	PHB
Acolyte	Ideal	6	2|Charity. I always try to help those in need, no matter what the personal cost. (Good)	PHB
Acolyte	Ideal	6	3|Change. We must help bring about the changes the gods are constantly working in the world. (Chaotic)	PHB
Acolyte	Ideal	6	4|Power. I hope to one day rise to the top of my faith's religious hierarchy. (Lawful)	PHB
Acolyte	Ideal	6	5|Faith. I trust that my deity will guide my actions. I have faith that if I work hard, things will go well. (Lawful)	PHB
Acolyte	Ideal	6	6|Aspiration. I seek to prove myself worthy of my god's favor by matching my actions against his or her teachings. (Any)	PHB
Acolyte	Bond	6	1|I would die to recover an ancient relic of my faith that was lost long ago.	PHB
Acolyte	Bond	6	2|I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.	PHB
Acolyte	Bond	6	3|I owe my life to the priest who took me in when my parents died.	PHB
Acolyte	Bond	6	4|Everything I do is for the common people.	PHB
Acolyte	Bond	6	5|I will do anything to protect the temple where I served.	PHB
Acolyte	Bond	6	6|I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.	PHB
Acolyte	Flaw	6	1|I judge others harshly, and myself even more severely.	PHB
Acolyte	Flaw	6	2|I put too much trust in those who wield power within my temple's hierarchy.	PHB
Acolyte	Flaw	6	3|My piety sometimes leads me to blindly trust those that profess faith in my god.	PHB
Acolyte	Flaw	6	4|I am inflexible in my thinking.	PHB
Acolyte	Flaw	6	5|I am suspicious of strangers and expect the worst of them.	PHB
Acolyte	Flaw	6	6|Once I pick a goal, I become obsessed with it to the detriment of everything else in my life.	PHB
Charlatan	Scam	6	1|I cheat at games of chance.	PHB
Charlatan	Scam	6	2|I shave coins or forge documents.	PHB
Charlatan	Scam	6	3|I insinuate myself into people's lives to prey on their weakness and secure their fortunes.	PHB
Charlatan	Scam	6	4|I put on new identities like clothes.	PHB
Charlatan	Scam	6	5|I run sleight-of-hand cons on street corners.	PHB
Charlatan	Scam	6	6|I convince people that worthless junk is worth their hard-earned money.	PHB
Charlatan	Personality Trait	8	1|I fall in and out of love easily, and am always pursuing someone.	PHB
Charlatan	Personality Trait	8	2|I have a joke for every occasion, especially occasions where humor is inappropriate.	PHB
Charlatan	Personality Trait	8	3|Flattery is my preferred trick for getting what I want.	PHB
Charlatan	Personality Trait	8	4|I'm a born gambler who can't resist taking a risk for a potential payoff.	PHB
Charlatan	Personality Trait	8	5|I lie about almost everything, even when there's no reason to.	PHB
Charlatan	Personality Trait	8	6|Sarcasm and insults are my weapons of choice.	PHB
Charlatan	Personality Trait	8	7|I keep multiple holy symbols on me and invoke whatever deity might come in useful at any given moment.	PHB
Charlatan	Personality Trait	8	8|I pocket anything I see that might have some value.	PHB
Charlatan	Ideal	6	1|Independence. I am a free spirit—no one tells me what to do. (Chaotic)	PHB
Charlatan	Ideal	6	2|Fairness. I never target people who can't afford to lose a few coins. (Lawful)	PHB
Charlatan	Ideal	6	3|Charity. I distribute the money I acquire to the people who really need it. (Good)	PHB
Charlatan	Ideal	6	4|Creativity. I never run the same con twice. (Chaotic)	PHB
Charlatan	Ideal	6	5|Friendship. Material goods come and go. Bonds of friendship last forever. (Good)	PHB
Charlatan	Ideal	6	6|Aspiration. I'm determined to make something of myself. (Any)	PHB
Charlatan	Bond	6	1|I fleeced the wrong person and must work to ensure that this individual never crosses paths with me or those I care about.	PHB
Charlatan	Bond	6	2|I owe everything to my mentor—a horrible person who's probably rotting in jail somewhere.	PHB
Charlatan	Bond	6	3|Somewhere out there, I have a child who doesn't know me. I'm making the world better for him or her.	PHB
Charlatan	Bond	6	4|I come from a noble family, and one day I'll reclaim my lands and title from those who stole them from me.	PHB
Charlatan	Bond	6	5|A powerful person killed someone I love. Some day soon, I'll have my revenge.	PHB
Charlatan	Bond	6	6|I swindled and ruined a person who didn't deserve it. I seek to atone for my misdeeds but might never be able to forgive myself.	PHB
Charlatan	Flaw	6	1|I can't resist a pretty face.	PHB
Charlatan	Flaw	6	2|I'm always in debt. I spend my ill-gotten gains on decadent luxuries faster than I bring them in.	PHB
Charlatan	Flaw	6	3|I'm convinced that no one could ever fool me the way I fool others.	PHB
Charlatan	Flaw	6	4|I'm too greedy for my own good. I can't resist taking a risk if there's money involved.	PHB
Charlatan	Flaw	6	5|I can't resist swindling people who are more powerful than me.	PHB
Charlatan	Flaw	6	6|I hate to admit it and will hate myself for it, but I'll run and preserve my own hide if the going gets tough.	PHB
Criminal	Specialty	8	1|Blackmailer	PHB
Criminal	Specialty	8	2|Burglar	PHB
Criminal	Specialty	8	3|Enforcer	PHB
Criminal	Specialty	8	4|Fence	PHB
Criminal	Specialty	8	5|Highway robber	PHB
Criminal	Specialty	8	6|Hired killer	PHB
Criminal	Specialty	8	7|Pickpocket	PHB
Criminal	Specialty	8	8|Smuggler	PHB
Criminal	Personality Trait	8	1|I always have a plan for when things go wrong.	PHB
Criminal	Personality Trait	8	2|I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.	PHB
Criminal	Personality Trait	8	3|The first thing I do in a new place is note the locations of everything valuable—or where such things could be hidden.	PHB
Criminal	Personality Trait	8	4|I would rather make a new friend than a new enemy.	PHB
Criminal	Personality Trait	8	5|I am incredibly slow to trust. Those who seem the fairest often have the most to hide.	PHB
Criminal	Personality Trait	8	6|I don't pay attention to the risks in a situation. Never tell me the odds.	PHB
Criminal	Personality Trait	8	7|The best way to get me to do something is to tell me I can't do it.	PHB
Criminal	Personality Trait	8	8|I blow up at the slightest insult.	PHB
Criminal	Ideal	6	1|Honor. I don't steal from others in the trade. (Lawful)	PHB
Criminal	Ideal	6	2|Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)	PHB
Criminal	Ideal	6	3|Charity. I steal from the wealthy so that I can help people in need. (Good)	PHB
Criminal	Ideal	6	4|Greed. I will do whatever it takes to become wealthy. (Evil)	PHB
Criminal	Ideal	6	5|People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)	PHB
Criminal	Ideal	6	6|Redemption. There's a spark of good in everyone. (Good)	PHB
Criminal	Bond	6	1|I'm trying to pay off an old debt I owe to a generous benefactor.	PHB
Criminal	Bond	6	2|My ill-gotten gains go to support my family.	PHB
Criminal	Bond	6	3|Something important was taken from me, and I aim to steal it back.	PHB
Criminal	Bond	6	4|I will become the greatest thief that ever lived.	PHB
Criminal	Bond	6	5|I'm guilty of a terrible crime. I hope I can redeem myself for it.	PHB
Criminal	Bond	6	6|Someone I loved died because of a mistake I made. That will never happen again.	PHB
Criminal	Flaw	6	1|When I see something valuable, I can't think about anything but how to steal it.	PHB
Criminal	Flaw	6	2|When faced with a choice between money and my friends, I usually choose the money.	PHB
Criminal	Flaw	6	3|If there's a plan, I'll forget it. If I don't forget it, I'll ignore it.	PHB
Criminal	Flaw	6	4|I have a 'tell' that reveals when I'm lying.	PHB
Criminal	Flaw	6	5|I turn tail and run when things look bad.	PHB
Criminal	Flaw	6	6|An innocent person is in prison for a crime that I committed. I'm okay with that.	PHB
Entertainer	Routines	10	1|Actor	PHB
Entertainer	Routines	10	2|Dancer	PHB
Entertainer	Routines	10	3|Fire-eater	PHB
Entertainer	Routines	10	4|Jester	PHB
